code,division,division_name,level,title,includes,may_include,alternate_terms,see,see_also,notes,discussion,parent_code,related_codes,chunk_text
01 00 00,01,GENERAL REQUIREMENTS,1,General Requirements,,,,,,May be used as Division level Section title.,,,[],01 00 00 — General Requirements Note: May be used as Division level Section title.
01 10 00,01,GENERAL REQUIREMENTS,2,Summary,,,,,,,,01 00 00,[],01 10 00 — Summary
01 11 00,01,GENERAL REQUIREMENTS,2,Summary of Work,description of construction delivered under a single contract. Description of provisions for future construction.,"list of products ordered in advance, owner-furnished products, salvaged material and equipment, products delivered to owner, and owner-installed products.",purchase contract: procurement contract: purchase order.,00 24 00 for procurement scopes. 00 54 13 for agreement form supplementary scope statement. 01 31 00 for coordination of work under a single contract. 01 64 00 for owner-supplied products.,,,,01 00 00,"['00 24 00', '00 54 13', '01 31 00', '01 64 00']","01 11 00 — Summary of Work Includes: description of construction delivered under a single contract. Description of provisions for future construction. May include: list of products ordered in advance, owner-furnished products, salvaged material and equipment, products delivered to owner, and owner-installed products. Also known as: purchase contract: procurement contract: purchase order."
01 11 13,01,GENERAL REQUIREMENTS,3,Work Covered by Contract Documents,,,,,,,,01 11 00,[],01 11 13 — Work Covered by Contract Documents
01 11 16,01,GENERAL REQUIREMENTS,3,Work by Owner,,,,,,,,01 11 00,[],01 11 16 — Work by Owner
01 11 19,01,GENERAL REQUIREMENTS,3,Purchase Contracts,,,,,,,,01 11 00,[],01 11 19 — Purchase Contracts
01 12 00,01,GENERAL REQUIREMENTS,2,Multiple Contract Summary,"description of construction delivered under more than one construction contract; for example, multiple prime, construction management, and design-build. Summary of contracts, related prior construction, related concurrent construction, contract interface, phasing of construction, and temporary facilities and controls responsibility.","list of products ordered in advance, owner-furnished products, salvaged material and equipment, products delivered to owner, and owner-installed products, future construction, and provisions for future construction associated with each contract.",,00 24 00 for procurement scopes. 00 54 13 for agreement form supplementary scope statement. 01 31 16 for multiple contract coordination.,,,,01 00 00,"['00 24 00', '00 54 13', '01 31 16']","01 12 00 — Multiple Contract Summary Includes: description of construction delivered under more than one construction contract; for example, multiple prime, construction management, and design-build. Summary of contracts, related prior construction, related concurrent construction, contract interface, phasing of construction, and temporary facilities and controls responsibility. May include: list of products ordered in advance, owner-furnished products, salvaged material and equipment, products delivered to owner, and owner-installed products, future construction, and provisions for future construction associated with each contract."
01 12 13,01,GENERAL REQUIREMENTS,3,Summary of Contracts,,,,,,,,01 12 00,[],01 12 13 — Summary of Contracts
01 12 16,01,GENERAL REQUIREMENTS,3,Work Sequence,,,,,,,,01 12 00,[],01 12 16 — Work Sequence
01 12 19,01,GENERAL REQUIREMENTS,3,Contract Interface,,,,,,,,01 12 00,[],01 12 19 — Contract Interface
01 14 00,01,GENERAL REQUIREMENTS,2,Work Restrictions,"restrictions that affect construction operations. Location of construction, occupancy requirements, and use of premises and site.",,,01 53 00 for temporary construction related to access and use of site. 01 55 00 for temporary vehicular access and parking. 01 56 00 for temporary barriers and enclosures.,,,,01 00 00,"['01 53 00', '01 55 00', '01 56 00']","01 14 00 — Work Restrictions Includes: restrictions that affect construction operations. Location of construction, occupancy requirements, and use of premises and site."
01 14 13,01,GENERAL REQUIREMENTS,3,Access to Site,,,,,,,,01 14 00,[],01 14 13 — Access to Site
01 14 16,01,GENERAL REQUIREMENTS,3,Coordination with Occupants,,,,,,,,01 14 00,[],01 14 16 — Coordination with Occupants
01 14 19,01,GENERAL REQUIREMENTS,3,Use of Site,,,,,,,,01 14 00,[],01 14 19 — Use of Site
01 14 33,01,GENERAL REQUIREMENTS,3,Work in Rights-of-Way,,,,,,,,01 14 00,[],01 14 33 — Work in Rights-of-Way
01 18 00,01,GENERAL REQUIREMENTS,2,Project Utility Sources,information concerning utility companies providing permanent services to the project.,,,01 51 00 for temporary utilities.,,,,01 00 00,['01 51 00'],01 18 00 — Project Utility Sources Includes: information concerning utility companies providing permanent services to the project.
01 18 13,01,GENERAL REQUIREMENTS,3,Utility Service Connections,,,,,,this is the location to specify information necessary for connecting utilities and where connection is made by utility.,,01 18 00,[],01 18 13 — Utility Service Connections Note: this is the location to specify information necessary for connecting utilities and where connection is made by utility.
01 20 00,01,GENERAL REQUIREMENTS,2,Price and Payment Procedures,,,,,,,,01 00 00,[],01 20 00 — Price and Payment Procedures
01 21 00,01,GENERAL REQUIREMENTS,2,Allowances,"administrative and procedural requirements for cash and quantity allowances for products, installation, testing, and contingencies. Time allowances. In a project manual application, other titles affected by allowances should reference this title.",allowance amounts and descriptions.,,00 70 00 for conditions of the contract for allowance requirements.,00 24 00 for procurement scopes for allowance amounts and items. 00 40 00 for allowances included in procurement forms. 00 43 21 for allowances procurement form supplement. 00 54 21 for allowances schedule agreement form supplement.,,,01 00 00,"['00 24 00', '00 40 00', '00 43 21', '00 54 21', '00 70 00']","01 21 00 — Allowances Includes: administrative and procedural requirements for cash and quantity allowances for products, installation, testing, and contingencies. Time allowances. In a project manual application, other titles affected by allowances should reference this title. May include: allowance amounts and descriptions."
01 21 13,01,GENERAL REQUIREMENTS,3,Cash Allowances,,,,,,,,01 21 00,[],01 21 13 — Cash Allowances
01 21 16,01,GENERAL REQUIREMENTS,3,Contingency Allowances,,,,,,,,01 21 00,[],01 21 16 — Contingency Allowances
01 21 19,01,GENERAL REQUIREMENTS,3,Testing and Inspecting Allowances,,,,,,,,01 21 00,[],01 21 19 — Testing and Inspecting Allowances
01 21 23,01,GENERAL REQUIREMENTS,3,Installation Allowances,,,,,,,,01 21 00,[],01 21 23 — Installation Allowances
01 21 26,01,GENERAL REQUIREMENTS,3,Product Allowances,,,,,,,,01 21 00,[],01 21 26 — Product Allowances
01 21 29,01,GENERAL REQUIREMENTS,3,Quantity Allowances,,,,,,,,01 21 00,[],01 21 29 — Quantity Allowances
01 21 43,01,GENERAL REQUIREMENTS,3,Time Allowances,,,,,,,,01 21 00,[],01 21 43 — Time Allowances
01 22 00,01,GENERAL REQUIREMENTS,2,Unit Prices,administrative and procedural requirements for unit prices and measurement and payment.,list and description of unit price items.,,,00 24 00 for procurement scopes for unit price descriptions. 00 40 00 for unit prices included in procurement forms. 00 43 22 for unit price procurement form supplement. 00 54 22 for unit prices schedule agreement form supplement.,,,01 00 00,"['00 24 00', '00 40 00', '00 43 22', '00 54 22']",01 22 00 — Unit Prices Includes: administrative and procedural requirements for unit prices and measurement and payment. May include: list and description of unit price items.
01 22 13,01,GENERAL REQUIREMENTS,3,Unit Price Measurement,,,,,,,,01 22 00,[],01 22 13 — Unit Price Measurement
01 22 16,01,GENERAL REQUIREMENTS,3,Unit Price Payment,,,,,,,,01 22 00,[],01 22 16 — Unit Price Payment
01 23 00,01,GENERAL REQUIREMENTS,2,Alternates,administrative and procedural requirements for alternate bids or proposals. Includes submission and acceptance procedures.,list and description of each alternate.,alternates: alternatives: bid items.,,00 24 00 for procurement scopes for alternate descriptions. 00 40 00 for alternates included in procurement forms. 00 43 23 for alternates procurement form supplement.,,,01 00 00,"['00 24 00', '00 40 00', '00 43 23']",01 23 00 — Alternates Includes: administrative and procedural requirements for alternate bids or proposals. Includes submission and acceptance procedures. May include: list and description of each alternate. Also known as: alternates: alternatives: bid items.
01 24 00,01,GENERAL REQUIREMENTS,2,Value Analysis,"administrative and procedural requirements for value analysis, application for consideration, and consideration of proposals.",appropriate forms.,value analysis: value management: value improvement.,00 63 00 for modification forms. 01 26 00 for contract modification procedures.,,,,01 00 00,"['00 63 00', '01 26 00']","01 24 00 — Value Analysis Includes: administrative and procedural requirements for value analysis, application for consideration, and consideration of proposals. May include: appropriate forms. Also known as: value analysis: value management: value improvement."
01 24 13,01,GENERAL REQUIREMENTS,3,Value Engineering,,,,,,,,01 24 00,[],01 24 13 — Value Engineering
01 25 00,01,GENERAL REQUIREMENTS,2,Substitution Procedures,administrative and procedural requirements for consideration of requests for substitution during the construction stage.,substitution procedures applicable during both procurement and construction stages. Substitution request form (during construction).,accepted substitute: approved equal.,00 43 25 for substitution request form (during procurement). 00 70 00 for conditions of the contract for substitution requirements. 01 24 00 for value analysis procedures. 01 62 00 for contractor's options in selecting products.,00 26 00 for procurement substitution procedures. 00 63 25 for substitution request form (during construction).,,,01 00 00,"['00 26 00', '00 43 25', '00 63 25', '00 70 00', '01 24 00', '01 62 00']",01 25 00 — Substitution Procedures Includes: administrative and procedural requirements for consideration of requests for substitution during the construction stage. May include: substitution procedures applicable during both procurement and construction stages. Substitution request form (during construction). Also known as: accepted substitute: approved equal.
01 25 13,01,GENERAL REQUIREMENTS,3,Product Substitution Procedures,,,,,,,,01 25 00,[],01 25 13 — Product Substitution Procedures
01 25 16,01,GENERAL REQUIREMENTS,3,Execution Substitution Procedures,,,,,,,,01 25 00,[],01 25 16 — Execution Substitution Procedures
01 26 00,01,GENERAL REQUIREMENTS,2,Contract Modification Procedures,"administrative and procedural requirements for making clarifications and proposals for change, and modifications to the contract documents.","request for interpretation form, request for information form. Clarification form. Supplemental instruction form. Field order form. Written amendment form. Construction change directive form. Work change directive form. Request for proposal form. Proposal worksheet summary form. Proposal worksheet detail form. Change order request form. Change order form.",RFI: request for interpretation: request for information.,00 70 00 for conditions of the contract for contract modification requirements. 00 93 00 for record clarifications and proposals. 00 94 00 for record modifications.,00 63 00 for modification forms.,,,01 00 00,"['00 63 00', '00 70 00', '00 93 00', '00 94 00']","01 26 00 — Contract Modification Procedures Includes: administrative and procedural requirements for making clarifications and proposals for change, and modifications to the contract documents. May include: request for interpretation form, request for information form. Clarification form. Supplemental instruction form. Field order form. Written amendment form. Construction change directive form. Work change directive form. Request for proposal form. Proposal worksheet summary form. Proposal worksheet detail form. Change order request form. Change order form. Also known as: RFI: request for interpretation: request for information."
01 26 13,01,GENERAL REQUIREMENTS,3,Requests for Information,,,RFI: request for interpretation: request for information.,,,,,01 26 00,[],01 26 13 — Requests for Information Also known as: RFI: request for interpretation: request for information.
01 26 19,01,GENERAL REQUIREMENTS,3,Clarification Notices,,,,,,,,01 26 00,[],01 26 19 — Clarification Notices
01 26 33,01,GENERAL REQUIREMENTS,3,Minor Changes in the Work,,,,,,,,01 26 00,[],01 26 33 — Minor Changes in the Work
01 26 36,01,GENERAL REQUIREMENTS,3,Supplemental Instructions,,,,,,,,01 26 00,[],01 26 36 — Supplemental Instructions
01 26 39,01,GENERAL REQUIREMENTS,3,Field Orders,,,,,,,,01 26 00,[],01 26 39 — Field Orders
01 26 43,01,GENERAL REQUIREMENTS,3,Amendments,,,,,,,,01 26 00,[],01 26 43 — Amendments
01 26 46,01,GENERAL REQUIREMENTS,3,Construction Change Directives,,,,,,,,01 26 00,[],01 26 46 — Construction Change Directives
01 26 49,01,GENERAL REQUIREMENTS,3,Work Change Directives,,,,,,,,01 26 00,[],01 26 49 — Work Change Directives
01 26 53,01,GENERAL REQUIREMENTS,3,Proposal Requests,,,,,,,,01 26 00,[],01 26 53 — Proposal Requests
01 26 54,01,GENERAL REQUIREMENTS,3,Proposal Worksheet Summaries,,,,,,,,01 26 00,[],01 26 54 — Proposal Worksheet Summaries
01 26 57,01,GENERAL REQUIREMENTS,3,Change Order Requests,,,,,,,,01 26 00,[],01 26 57 — Change Order Requests
01 26 63,01,GENERAL REQUIREMENTS,3,Change Orders,,,,,,,,01 26 00,[],01 26 63 — Change Orders
01 29 00,01,GENERAL REQUIREMENTS,2,Payment Procedures,"administrative and procedural requirements for processing of schedules of values, progress payments, and final payment.",schedule of values form. Application for payment form. Sales tax form. Consent of surety to reduction of retainage form. Stored material form.,,00 70 00 for conditions of the contract for payment requirements.,00 62 00 for payment procedure forms.,,,01 00 00,"['00 62 00', '00 70 00']","01 29 00 — Payment Procedures Includes: administrative and procedural requirements for processing of schedules of values, progress payments, and final payment. May include: schedule of values form. Application for payment form. Sales tax form. Consent of surety to reduction of retainage form. Stored material form."
01 29 73,01,GENERAL REQUIREMENTS,3,Schedule of Values,,,,,,,,01 29 00,[],01 29 73 — Schedule of Values
01 29 76,01,GENERAL REQUIREMENTS,3,Progress Payment Procedures,,,,,,,,01 29 00,[],01 29 76 — Progress Payment Procedures
01 29 83,01,GENERAL REQUIREMENTS,3,Payment Procedures for Testing Laboratory Services,,,,,,,,01 29 00,[],01 29 83 — Payment Procedures for Testing Laboratory Services
01 30 00,01,GENERAL REQUIREMENTS,2,Administrative Requirements,,,,,,,,01 00 00,[],01 30 00 — Administrative Requirements
01 31 00,01,GENERAL REQUIREMENTS,2,Project Management and Coordination,administrative and procedural requirements for the management and coordination of subcontractors and coordination with other contractors and owners. Describes coordination of various parts of work under a single contract and under multiple contracts.,,meetings: conferences.,01 11 00 for summary of work under a single contract. 01 12 00 for multiple contract summary. 01 71 13 for mobilization requirements. 01 73 00 for execution requirements.,,,,01 00 00,"['01 11 00', '01 12 00', '01 71 13', '01 73 00']",01 31 00 — Project Management and Coordination Includes: administrative and procedural requirements for the management and coordination of subcontractors and coordination with other contractors and owners. Describes coordination of various parts of work under a single contract and under multiple contracts. Also known as: meetings: conferences.
01 31 13,01,GENERAL REQUIREMENTS,3,Project Coordination,,,,,,,,01 31 00,[],01 31 13 — Project Coordination
01 31 14,01,GENERAL REQUIREMENTS,3,Facility Services Coordination,,,,,,,,01 31 00,[],01 31 14 — Facility Services Coordination
01 31 16,01,GENERAL REQUIREMENTS,3,Multiple Contract Coordination,,,,,,,,01 31 00,[],01 31 16 — Multiple Contract Coordination
01 31 19,01,GENERAL REQUIREMENTS,3,Project Meetings,,,,,,,,01 31 00,[],01 31 19 — Project Meetings
01 31 19.13,01,GENERAL REQUIREMENTS,4,Preconstruction Meetings,,,,,,,,01 31 19,[],01 31 19.13 — Preconstruction Meetings
01 31 19.16,01,GENERAL REQUIREMENTS,4,Site Mobilization Meetings,,,,,,,,01 31 19,[],01 31 19.16 — Site Mobilization Meetings
01 31 19.23,01,GENERAL REQUIREMENTS,4,Progress Meetings,,,,,,,,01 31 19,[],01 31 19.23 — Progress Meetings
01 31 19.33,01,GENERAL REQUIREMENTS,4,Preinstallation Meetings,,,,,,,,01 31 19,[],01 31 19.33 — Preinstallation Meetings
01 31 23,01,GENERAL REQUIREMENTS,3,Project Web Site,,,,,,,,01 31 00,[],01 31 23 — Project Web Site
01 31 26,01,GENERAL REQUIREMENTS,3,Electronic Communication Protocols,,,,,,,,01 31 00,[],01 31 26 — Electronic Communication Protocols
01 32 00,01,GENERAL REQUIREMENTS,2,Construction Progress Documentation,"administrative and procedural requirements for scheduling, recording, and reporting progress.",construction schedule form. Work plan schedule form. Construction equipment form. Other appropriate forms.,CPM: critical path method.,00 31 21 for survey information provided to bidders or proposers. 00 43 83 for proposed construction schedule form. 00 43 86 for proposed work plan schedule form. 01 71 23 for field engineering during construction. 01 78 29 for final site survey.,00 62 83 for construction schedule form. 00 62 86 for work plan schedule form.,,,01 00 00,"['00 31 21', '00 43 83', '00 43 86', '00 62 83', '00 62 86', '01 71 23', '01 78 29']","01 32 00 — Construction Progress Documentation Includes: administrative and procedural requirements for scheduling, recording, and reporting progress. May include: construction schedule form. Work plan schedule form. Construction equipment form. Other appropriate forms. Also known as: CPM: critical path method."
01 32 13,01,GENERAL REQUIREMENTS,3,Scheduling of Work,,,,,,,,01 32 00,[],01 32 13 — Scheduling of Work
01 32 16,01,GENERAL REQUIREMENTS,3,Construction Progress Schedule,,,,,,,,01 32 00,[],01 32 16 — Construction Progress Schedule
01 32 16.13,01,GENERAL REQUIREMENTS,4,Network Analysis Schedules,,,,,,,,01 32 16,[],01 32 16.13 — Network Analysis Schedules
01 32 19,01,GENERAL REQUIREMENTS,3,Submittals Schedule,,,,,,,,01 32 00,[],01 32 19 — Submittals Schedule
01 32 23,01,GENERAL REQUIREMENTS,3,Survey and Layout Data,,,,,,,,01 32 00,[],01 32 23 — Survey and Layout Data
01 32 26,01,GENERAL REQUIREMENTS,3,Construction Progress Reporting,,,,,,,,01 32 00,[],01 32 26 — Construction Progress Reporting
01 32 29,01,GENERAL REQUIREMENTS,3,Periodic Work Observation,,,,,,,,01 32 00,[],01 32 29 — Periodic Work Observation
01 32 33,01,GENERAL REQUIREMENTS,3,Photographic Documentation,,,,,,,,01 32 00,[],01 32 33 — Photographic Documentation
01 32 36,01,GENERAL REQUIREMENTS,3,Video Monitoring and Documentation,web cameras.,,,,,,,01 32 00,[],01 32 36 — Video Monitoring and Documentation Includes: web cameras.
01 32 43,01,GENERAL REQUIREMENTS,3,Purchase Order Tracking,,,,,,,,01 32 00,[],01 32 43 — Purchase Order Tracking
01 33 00,01,GENERAL REQUIREMENTS,2,Submittal Procedures,administrative and procedural requirements for processing of submittals during the construction stage.,submittal transmittal form. Construction waste diversion form. Recycled content of materials form. Other appropriate forms.,,01 43 00 for quality assurance procedures. 01 78 00 for closeout submittals.,00 62 11 for submittal transmittal form. 00 62 23 for construction waste diversion form. 00 62 34 for recycled content of materials form. 01 45 13 for source quality control procedures. 01 45 16 for field quality control procedures. 01 78 53 for sustainable design closeout documentation.,,,01 00 00,"['00 62 11', '00 62 23', '00 62 34', '01 43 00', '01 45 13', '01 45 16', '01 78 00', '01 78 53']",01 33 00 — Submittal Procedures Includes: administrative and procedural requirements for processing of submittals during the construction stage. May include: submittal transmittal form. Construction waste diversion form. Recycled content of materials form. Other appropriate forms.
01 33 13,01,GENERAL REQUIREMENTS,3,Certificates,,,,,,,,01 33 00,[],01 33 13 — Certificates
01 33 16,01,GENERAL REQUIREMENTS,3,Design Data,,,,,,,,01 33 00,[],01 33 16 — Design Data
01 33 19,01,GENERAL REQUIREMENTS,3,Field Test Reporting,,,,,,,,01 33 00,[],01 33 19 — Field Test Reporting
01 33 23,01,GENERAL REQUIREMENTS,3,"Shop Drawings, Product Data, and Samples",,,,,,,,01 33 00,[],"01 33 23 — Shop Drawings, Product Data, and Samples"
01 33 26,01,GENERAL REQUIREMENTS,3,Source Quality Control Reporting,,,,,,,,01 33 00,[],01 33 26 — Source Quality Control Reporting
01 33 29,01,GENERAL REQUIREMENTS,3,Sustainable Design Reporting,,,,,,Level 4 numbers below to be used in conjunction with 01 33 29 Sustainable Design Reporting.,,01 33 00,[],01 33 29 — Sustainable Design Reporting Note: Level 4 numbers below to be used in conjunction with 01 33 29 Sustainable Design Reporting.
01 33 29.01,01,GENERAL REQUIREMENTS,4,Material Cost Summary Form,,,,,,,,01 33 29,[],01 33 29.01 — Material Cost Summary Form
01 33 29.02,01,GENERAL REQUIREMENTS,4,Wood-Containing Product List,,,,,,,,01 33 29,[],01 33 29.02 — Wood-Containing Product List
01 33 29.03,01,GENERAL REQUIREMENTS,4,Metal-Containing Product List,,,,,,,,01 33 29,[],01 33 29.03 — Metal-Containing Product List
01 33 29.04,01,GENERAL REQUIREMENTS,4,Material Content Form,,,,,,,,01 33 29,[],01 33 29.04 — Material Content Form
01 33 29.05,01,GENERAL REQUIREMENTS,4,New Product Source Form,,,,,,,,01 33 29,[],01 33 29.05 — New Product Source Form
01 33 29.06,01,GENERAL REQUIREMENTS,4,Reused Product Form,,,,,,,,01 33 29,[],01 33 29.06 — Reused Product Form
01 33 29.07,01,GENERAL REQUIREMENTS,4,Prohibited Content Installer Certification,,,,,,,,01 33 29,[],01 33 29.07 — Prohibited Content Installer Certification
01 35 00,01,GENERAL REQUIREMENTS,2,Special Procedures,"administrative and procedural requirements for special project situations; for example, relocations, restoration, historic restoration, alteration, renovation, preservation, and hazardous material abatement. Administrative and procedural requirements for specific facility types; for example, airports, detention facilities, ground transportation facilities, hospitals and medical facilities, industrial and process facilities, nuclear facilities, and shopping centers.",infection control form. Other appropriate forms.,alteration procedures: rehabilitation procedures: remodeling procedures: renovation procedures: repair procedures.,00 31 26 for existing hazardous material information. 00 73 19 for health and safety requirements. 00 73 63 for security requirements. 02 26 00 for hazardous material assessment. 02 50 00 for site remediation. 02 60 00 for contaminated site material removal. 02 80 00 for facility remediation. XX 01 00 at the beginning of divisions for operation and maintenance titles. XX 01 00 at the beginning of divisions for specific preservation and restoration requirements.,00 62 19 for infection control form.,,,01 00 00,"['00 31 26', '00 62 19', '00 73 19', '00 73 63', '02 26 00', '02 50 00', '02 60 00', '02 80 00']","01 35 00 — Special Procedures Includes: administrative and procedural requirements for special project situations; for example, relocations, restoration, historic restoration, alteration, renovation, preservation, and hazardous material abatement. Administrative and procedural requirements for specific facility types; for example, airports, detention facilities, ground transportation facilities, hospitals and medical facilities, industrial and process facilities, nuclear facilities, and shopping centers. May include: infection control form. Other appropriate forms. Also known as: alteration procedures: rehabilitation procedures: remodeling procedures: renovation procedures: repair procedures."
01 35 03,01,GENERAL REQUIREMENTS,3,Conservation Treatment Procedures,,,,,,,,01 35 00,[],01 35 03 — Conservation Treatment Procedures
01 35 13,01,GENERAL REQUIREMENTS,3,Special Project Procedures,,,,,,,,01 35 00,[],01 35 13 — Special Project Procedures
01 35 13.13,01,GENERAL REQUIREMENTS,4,Special Project Procedures for Airport Facilities,,,,,,,,01 35 13,[],01 35 13.13 — Special Project Procedures for Airport Facilities
01 35 13.16,01,GENERAL REQUIREMENTS,4,Special Project Procedures for Detention Facilities,,,,,,,,01 35 13,[],01 35 13.16 — Special Project Procedures for Detention Facilities
01 35 13.19,01,GENERAL REQUIREMENTS,4,Special Project Procedures for Healthcare Facilities,,,,,,,,01 35 13,[],01 35 13.19 — Special Project Procedures for Healthcare Facilities
01 35 13.26,01,GENERAL REQUIREMENTS,4,Special Project Procedures for Clean Rooms,,,,,,,,01 35 13,[],01 35 13.26 — Special Project Procedures for Clean Rooms
01 35 13.43,01,GENERAL REQUIREMENTS,4,Special Project Procedures for Contaminated Sites,,,,,,,,01 35 13,[],01 35 13.43 — Special Project Procedures for Contaminated Sites
01 35 16,01,GENERAL REQUIREMENTS,3,Alteration Project Procedures,,,,,,,,01 35 00,[],01 35 16 — Alteration Project Procedures
01 35 23,01,GENERAL REQUIREMENTS,3,Owner Safety Requirements,,,,,,,,01 35 00,[],01 35 23 — Owner Safety Requirements
01 35 26,01,GENERAL REQUIREMENTS,3,Governmental Safety Requirements,,,,,,,,01 35 00,[],01 35 26 — Governmental Safety Requirements
01 35 29,01,GENERAL REQUIREMENTS,3,"Health, Safety, and Emergency Response Procedures",,,,,,,,01 35 00,[],"01 35 29 — Health, Safety, and Emergency Response Procedures"
